"","Year","type","mean_EG","se_EG"
"1",2000,"reference",25.037037037037,9.67886274764714
"2",2001,"reference",68.0952380952381,17.8994419654842
"3",2002,"reference",69.2592592592593,18.8128188646762
"4",2003,"reference",48.1111111111111,14.9940317344709
"5",2004,"reference",39.4814814814815,11.3105859831048
"6",2005,"reference",19.5555555555556,8.17875145169738
"7",2006,"reference",4.18518518518519,3.73592465916872
"8",2007,"reference",73.2962962962963,22.9824439467782
"9",2008,"reference",97.1111111111111,22.1437503375635
"10",2009,"reference",100.62962962963,9.60090087794049
"11",2010,"reference",87.8518518518518,12.8375547543654
"12",2011,"reference",67.962962962963,21.3833646866521
"13",2012,"reference",60.7037037037037,14.7504388346987
"14",2013,"reference",101.037037037037,19.7221787514736
"15",2014,"reference",82.3703703703704,14.2765287439447
"16",2015,"reference",68.962962962963,14.9487235142361
"17",2016,"reference",24,12.5289083711848
"18",2000,"constructed",8.27464788732394,1.25418665040347
"19",2001,"constructed",28.8802816901408,2.18588479519506
"20",2002,"constructed",40.0211267605634,3.79685252978565
"21",2003,"constructed",45.3098591549296,4.17347081759622
"22",2004,"constructed",43.3169014084507,3.64371138756729
"23",2005,"constructed",42.2957746478873,3.66396121707902
"24",2006,"constructed",18.5704225352113,2.81483998340705
"25",2007,"constructed",31.0281690140845,3.90386093796282
"26",2008,"constructed",76.7323943661972,3.66032154326852
"27",2009,"constructed",84.8028169014084,2.85713919416777
"28",2010,"constructed",76.2253521126761,3.40975810597238
"29",2011,"constructed",74.4295774647887,4.17559105660423
"30",2012,"constructed",81.3802816901408,3.52382096506383
"31",2013,"constructed",94.9577464788732,4.15826490741023
"32",2014,"constructed",65.7253521126761,3.54338867089392
"33",2015,"constructed",106.56338028169,3.34131196936607
"34",2016,"constructed",101.985915492958,2.44914280127602
"35",2017,"constructed",72.3661971830986,5.04956433540052
