"","Year","Pool","Quadrat","ACMO","AICA","ALCA","ANAR","ASTR","AVFA","BRDI","BREL","BRHO","BRMI","BRRA","CAAT","CACI","CALL","CEGL","CEMI","CESO","CIQU","CIVU","COAR","COCO","CRAQ","DEDA","DISP","DOCO","DOCU","DOIN","EPPY","ERBO","ERSE","ERVA","EU","GEDI","HECO","HEPU","HOBR","HOMA","HYGL","JUBU","LACH","LACO","LAGL","LENI","LETA","LISC","LOMU","LOTUS","LUBI","LYHY","MAPA","MEIN","MEPO","MITR","MYOS","PHMI","PICR","PILL","PLCA","PLEL","PLGR","PLST","POMA","PSOR","PSTE","RUMEX","SIGA","SOAS","SPAR","STHE","TAOF","TACA","TRDE","TRDU","TRER","TRFU","TRHY","TRMI","TRVA","VEPE","VISA","VIVI","VUBR","LACOdens"
"1",2001,"9","C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,100,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2001,"12","A",0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,39,0,0,3,1,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0.660316840310965
"3",2001,"12","B",2,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0,48,0,0,0,1,0,49,0,0,6,6,0,0,0,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,51,7.50730386707707
"4",2001,"12","C",8,1,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,54,0,1,0,0,0,18,0,0,6,38,0,0,0,0,20,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,60,91.8486623941637
"5",2001,"20","A",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,10,0,80,0,0,0,12,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,19,13.0133806497152
"6",2001,"20","C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,2,0,0,0,18,0,85,0,0,0,33,0,0,0,0,0,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.1517675338806
"7",2001,"34","C",0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,37,6,0,0,0,1,0,0,0,0,2,0,0,0,0,84,0,7,0,0,0,1,0,0,0,0,62,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0.660316840310965
"8",2001,"36","C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,2,0,0,0,1,0,0,0,13,0,19,0,0,0,75,0,0,0,0,0,32,0,0,0,0,92,0,0,14,0,0,0,0,0,0,0,0,0,0,0,23,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.7471662186446
"9",2001,"38","C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,16,0,18,0,1,0,0,0,0,0,0,0,0,0,0,100,0,0,3,0,0,0,0,0,0,0,0,49,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2001,"45","B",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,6,0,2,0,8,0,0,0,0,0,0,0,0,8,62,3,7,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0
"11",2001,"49","A",0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,12,0,0,0,0,0,0,0,0,55,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"12",2001,"49","B",1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"13",2001,"49","C",1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,96,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
