Pool type,Env variable,Lambda,Alpha LACO,Alpha EG,Alpha ERVA,Alpha NF
Reference,Early ppt,-0.75,0.002,0.002,-0.008,0.005
,,(0.185),(0.778),(0.747),(0.213),(0.344)
,Late ppt,-0.63,-0.004,-0.006,0.001,0.001
,,(0.315),(0.576),(0.373),(0.927),(0.759)
,Total ppt,-0.632,-0.001,-0.001,-0.003,0.004
,,(0.097),(0.839),(0.783),(0.473),(0.252)
,Max depth,-24.203,-0.161,-0.203,0.206,-0.138
,,(0.086),(0.287),(0.174),(0.187),(0.121)
,Max duration,-10.17,-0.077,-0.074,0.093,-0.061
,,(0.051),(0.158),(0.256),(0.086),(0.037)
Constructed,Early ppt,-0.484,-0.004,-0.007,-0.003,-0.001
,,(0.519),(0.226),(0.305),(0.628),(0.777)
,Late ppt,0.62,0.003,-0.002,0.006,0.006
,,(0.279),(0.199),(0.710),(0.215),(0.062)
,Total ppt,0.143,0.001,-0.002,0.002,0.003
,,(0.750),(0.758),(0.5062),(0.460),(0.130)
,Max depth,-11.621,-0.193,-0.1,-0.012,-0.016
,,(0.156),(0.170),(0.655),(0.947),(0.934)
,Max duration,-3.696,-0.061,-0.012,-0.001,-0.002
,,(0.316),(0.327),(0.890),(0.984),(0.974)
