"","LACOdens","Year","Depth","Pool"
"1",25,"2001","shallow",302
"2",31,"2001","deep",304
"3",23,"2001","deep",305
"4",14,"2001","medium",306
"5",10,"2001","medium",307
"6",7,"2001","deep",309
"7",21,"2001","medium",310
"8",0,"2001","deep",313
"9",4,"2001","medium",314
"10",11,"2001","medium",321
"11",4,"2001","shallow",323
"12",14,"2001","deep",326
"13",24,"2001","shallow",328
"14",44,"2001","medium",329
"15",0,"2001","medium",330
"16",0,"2001","medium",333
"17",4,"2001","shallow",335
"18",0,"2001","shallow",337
"19",36,"2001","medium",338
"20",37,"2001","medium",339
"21",5,"2001","medium",340
"22",50,"2001","deep",341
"23",7,"2001","shallow",345
"24",23,"2001","deep",349
"25",7,"2001","shallow",351
"26",5,"2001","shallow",355
"27",1,"2001","shallow",356
"28",6,"2001","medium",357
"29",7,"2001","shallow",360
"30",20,"2001","medium",362
"31",9,"2001","shallow",363
"32",1,"2001","medium",364
"33",5,"2001","medium",365
"34",1,"2001","medium",370
"35",19,"2001","deep",373
"36",13,"2001","medium",374
"37",0,"2001","medium",377
"38",4,"2001","medium",378
"39",13,"2001","deep",380
"40",9,"2001","medium",381
"41",20,"2001","deep",382
"42",1,"2001","medium",383
"43",18,"2001","deep",384
"44",10,"2001","deep",385
"45",16,"2001","shallow",386
"46",0,"2001","shallow",387
"47",26,"2001","shallow",388
"48",20,"2001","medium",389
"49",14,"2001","medium",390
"50",4,"2001","shallow",393
"51",5,"2001","medium",394
"52",6,"2001","shallow",406
"53",5,"2001","shallow",407
"54",1,"2001","medium",409
"55",19,"2001","shallow",411
"56",37,"2001","medium",412
"57",5,"2001","shallow",413
"58",1,"2001","shallow",414
"59",9,"2001","shallow",415
"60",13,"2001","medium",416
"61",5,"2001","shallow",417
"62",13,"2001","shallow",419
"63",13,"2001","medium",421
"64",31,"2001","medium",422
"65",28,"2001","medium",423
"66",26,"2001","medium",428
"67",31,"2001","medium",430
"68",17,"2001","medium",432
"69",17,"2001","deep",433
"70",20,"2001","medium",435
"71",6,"2001","deep",437
"72",0,"2001","deep",440
"73",42,"2001","medium",443
"74",26,"2001","medium",444
"75",5,"2001","medium",446
"76",15,"2001","medium",447
