"","Year","type","mean_LACOdens","se_LACOdens"
"1",2000,"constructed",11.7083333333333,1.14814906839447
"2",2000,"reference",84,43.5634913405454
"3",2001,"constructed",28.875,5.9393760935204
"4",2001,"reference",25.2608695652174,11.1552496355767
"5",2002,"constructed",158.972222222222,36.6067904852789
"6",2002,"reference",103.222222222222,57.5337528416962
"7",2003,"constructed",277.888888888889,57.3243133379688
"8",2003,"reference",90.8888888888889,39.453715655339
"9",2004,"constructed",252.180555555556,59.1103525113627
"10",2004,"reference",142.777777777778,64.8367132319032
"11",2005,"constructed",463.847222222222,104.517509932644
"12",2005,"reference",144.444444444444,52.7231003322261
"13",2006,"constructed",65.0277777777778,30.5378172655157
"14",2006,"reference",51.3333333333333,25.1887320487202
"15",2007,"constructed",251.708333333333,55.2214259433416
"16",2007,"reference",221.444444444444,75.0925560578986
"17",2008,"constructed",34.3333333333333,12.898074609743
"18",2008,"reference",154,76.6768109230772
"19",2009,"constructed",70.7638888888889,27.9188510325816
"20",2009,"reference",157.333333333333,75.4926412896574
"21",2010,"constructed",31.125,21.6411725914883
"22",2010,"reference",104.222222222222,52.8180255893809
"23",2011,"constructed",21.9166666666667,12.383443279199
"24",2011,"reference",60.1111111111111,58.1149350770725
"25",2012,"constructed",5.95833333333333,2.46067963148929
"26",2012,"reference",72.6666666666667,52.3426212564866
"27",2013,"constructed",1.26388888888889,0.769629164903013
"28",2013,"reference",74.2222222222222,37.2647352577093
"29",2014,"constructed",1.09722222222222,0.946982631390776
"30",2014,"reference",63.7777777777778,43.5359933394126
"31",2015,"constructed",5.43055555555556,3.64197976162311
"32",2015,"reference",120.555555555556,56.9541997064091
"33",2016,"constructed",39.1111111111111,23.0527865675109
"34",2016,"reference",297.5,80.6259194607348
"35",2017,"constructed",1.91666666666667,1.20554762262738
"36",2017,"reference",165,76.1178910200048
